urn,la_name,pua,establishment_name,number_of_pupils,estimate_14_18,fsm,type_of_establishment_name,establishment_type_group_name,statutory_low_age,statutory_high_age
146731,Birmingham,Birmingham,Titan Aston Academy,1,0,100,Free schools alternative provision,Free Schools,13,16
139731,Birmingham,Birmingham,Titan St Georges Academy,12,6,75,Free schools alternative provision,Free Schools,11,16
144306,Birmingham,Birmingham,Tile Cross Academy,616,295,68.34,Academy sponsor led,Academies,11,16
147440,Birmingham,Birmingham,King Edward VI Balaam Wood Academy,419,200,65.63,Academy sponsor led,Academies,11,16
135907,Birmingham,Birmingham,E-ACT Heartlands Academy,838,401,59.55,Academy sponsor led,Academies,11,18
139047,Birmingham,Birmingham,Four Dwellings Academy,556,266,57.37,Academy sponsor led,Academies,11,16
135911,Birmingham,Birmingham,E-ACT Shenley Academy,816,390,55.76,Academy sponsor led,Academies,11,16
142388,Birmingham,Birmingham,Cockshut Hill School,965,461,55.65,Academy sponsor led,Academies,11,18
148187,Birmingham,Birmingham,City Academy,665,318,54.74,Free schools,Free Schools,11,16
141003,Birmingham,Birmingham,Jewellery Quarter Academy,653,312,52.68,Free schools,Free Schools,11,16
143413,Birmingham,Birmingham,Erdington Academy,951,455,52.16,Academy sponsor led,Academies,11,16
138695,Birmingham,Birmingham,George Dixon Academy,1017,486,51.62,Academy converter,Academies,11,18
136213,Birmingham,Birmingham,Harborne Academy,605,289,51.57,Academy sponsor led,Academies,11,16
140014,Birmingham,Birmingham,Ark Boulton Academy,891,426,51.29,Academy sponsor led,Academies,11,16
136589,Birmingham,Birmingham,Bartley Green School,940,449,50.32,Academy converter,Academies,11,16
103534,Birmingham,Birmingham,St John Wall Catholic School,643,307,50.23,Voluntary aided school,Local authority maintained schools,11,16
142071,Birmingham,Birmingham,The Edge Academy,2,1,50,Free schools alternative provision,Free Schools,11,16
144719,Birmingham,Birmingham,Holy Trinity Catholic School,739,353,49.53,Academy sponsor led,Academies,11,16
135970,Birmingham,Birmingham,Ark St Alban's Academy,873,417,49.48,Academy sponsor led,Academies,11,18
103498,Birmingham,Birmingham,Selly Park  Girls' School,807,386,49.07,Community school,Local authority maintained schools,11,16
136406,Birmingham,Birmingham,"Ninestiles, an Academy",1491,713,46.88,Academy converter,Academies,11,18
139048,Birmingham,Birmingham,Greenwood Academy,963,460,46.83,Academy sponsor led,Academies,11,18
144721,Birmingham,Birmingham,The Royal Sutton School,948,453,46.73,Academy sponsor led,Academies,11,16
